calendar_year,production,imports,exports,total_consumption,ending_stocks,country
2016,2154,8,158,2004,0,Argentina
2017,2186,6,178,2014,0,Argentina
2018,2211,10,125,2096,0,Argentina
2019,2217,10,145,2082,0,Argentina
2020,2222,10,154,2078,0,Argentina
2021,2226,10,164,2072,0,Argentina
2022,2234,10,170,2074,0,Argentina
2023,2242,10,179,2074,0,Argentina
2024,2252,10,183,2079,0,Argentina
2025,2259,10,185,2083,0,Argentina
2026,2268,10,190,2088,0,Argentina
2027,2275,10,195,2089,0,Argentina
2028,2285,10,199,2096,0,Argentina
2016,1241,12,31,1222,0,Australia
2017,1241,10,39,1212,0,Australia
2018,1186,10,37,1159,0,Australia
2019,1207,10,37,1180,0,Australia
2020,1240,10,39,1211,0,Australia
2021,1271,10,39,1242,0,Australia
2022,1297,10,40,1267,0,Australia
2023,1327,10,41,1296,0,Australia
2024,1357,10,41,1326,0,Australia
2025,1388,10,42,1356,0,Australia
2026,1418,10,43,1385,0,Australia
2027,1446,10,44,1412,0,Australia
2028,1476,10,44,1442,0,Australia
2016,190,0,0,190,0,Bangladesh
2017,200,0,0,200,0,Bangladesh
2018,206,0,0,206,0,Bangladesh
2019,212,0,0,212,0,Bangladesh
2020,218,0,0,218,0,Bangladesh
2021,223,0,0,223,0,Bangladesh
2022,228,0,0,228,0,Bangladesh
2023,234,0,0,234,0,Bangladesh
2024,239,0,0,239,0,Bangladesh
2025,245,0,0,245,0,Bangladesh
2026,251,0,0,251,0,Bangladesh
2027,257,0,0,257,0,Bangladesh
2028,263,0,0,263,0,Bangladesh
2016,14119,3,3982,10140,0,Brazil
2017,14233,3,3943,10293,0,Brazil
2018,14199,1,3783,10417,0,Brazil
2019,14476,1,3875,10602,0,Brazil
2020,14876,1,4135,10742,0,Brazil
2021,15263,1,4369,10895,0,Brazil
2022,15612,1,4585,11028,0,Brazil
2023,16012,1,4825,11188,0,Brazil
2024,16430,1,5037,11394,0,Brazil
2025,16833,1,5241,11593,0,Brazil
2026,17213,1,5455,11759,0,Brazil
2027,17587,1,5661,11927,0,Brazil
2028,17965,1,5881,12085,0,Brazil
2016,1405,190,160,1436,43,Canada
2017,1408,177,161,1421,46,Canada
2018,1468,178,152,1485,55,Canada
2019,1505,183,158,1535,50,Canada
2020,1528,186,158,1554,51,Canada
2021,1549,189,158,1579,53,Canada
2022,1571,192,160,1602,54,Canada
2023,1593,195,163,1624,55,Canada
2024,1618,198,165,1650,56,Canada
2025,1644,201,168,1676,57,Canada
2026,1666,204,171,1698,58,Canada
2027,1692,207,173,1725,59,Canada
2028,1716,210,176,1749,60,Canada
2016,1637,449,15,2071,0,Central AM & Carribean
2017,1655,445,21,2079,0,Central AM & Carribean
2018,1705,481,21,2165,0,Central AM & Carribean
2019,1755,503,22,2236,0,Central AM & Carribean
2020,1777,523,22,2277,0,Central AM & Carribean
2021,1806,550,23,2333,0,Central AM & Carribean
2022,1836,578,23,2391,0,Central AM & Carribean
2023,1866,608,23,2451,0,Central AM & Carribean
2024,1900,637,24,2514,0,Central AM & Carribean
2025,1939,664,24,2579,0,Central AM & Carribean
2026,1972,691,25,2638,0,Central AM & Carribean
2027,2007,720,25,2702,0,Central AM & Carribean
2028,2037,748,25,2760,0,Central AM & Carribean
2016,12448,477,386,12539,0,China
2017,11600,370,436,11534,0,China
2018,11700,409,460,11649,0,China
2019,12000,434,475,11959,0,China
2020,12272,457,487,12242,0,China
2021,12527,471,493,12505,0,China
2022,12816,488,509,12795,0,China
2023,13145,504,522,13127,0,China
2024,13429,521,529,13421,0,China
2025,13624,539,538,13625,0,China
2026,13861,559,548,13872,0,China
2027,14081,579,556,14105,0,China
2028,14319,599,561,14358,0,China
2016,25,236,0,261,0,Cuba
2017,31,282,0,313,0,Cuba
2018,31,299,0,330,0,Cuba
2019,31,314,0,345,0,Cuba
2020,31,333,0,364,0,Cuba
2021,30,349,0,379,0,Cuba
2022,30,360,0,390,0,Cuba
2023,30,373,0,403,0,Cuba
2024,30,384,0,414,0,Cuba
2025,30,394,0,424,0,Cuba
2026,30,404,0,434,0,Cuba
2027,31,414,0,445,0,Cuba
2028,30,425,0,455,0,Cuba
2016,404,370,0,774,0,West Africa
2017,372,420,1,791,0,West Africa
2018,383,487,1,869,0,West Africa
2019,400,515,1,914,0,West Africa
2020,412,544,1,955,0,West Africa
2021,420,564,1,983,0,West Africa
2022,430,584,1,1013,0,West Africa
2023,441,600,1,1040,0,West Africa
2024,453,615,1,1067,0,West Africa
2025,465,633,1,1097,0,West Africa
2026,477,650,1,1126,0,West Africa
2027,491,667,1,1157,0,West Africa
2028,504,684,1,1188,0,West Africa
2016,1063,127,0,1190,0,Egypt
2017,1061,222,0,1283,0,Egypt
2018,1132,60,0,1192,0,Egypt
2019,1212,80,0,1292,0,Egypt
2020,1245,101,0,1346,0,Egypt
2021,1271,116,0,1387,0,Egypt
2022,1307,128,0,1435,0,Egypt
2023,1337,138,0,1475,0,Egypt
2024,1362,147,0,1509,0,Egypt
2025,1393,158,0,1551,0,Egypt
2026,1416,167,0,1583,0,Egypt
2027,1450,177,0,1627,0,Egypt
2028,1475,187,0,1662,0,Egypt
2016,13585,1230,1869,12946,0,EU
2017,14011,1152,1892,13271,0,EU
2018,14279,1116,1983,13412,0,EU
2019,14446,1153,2059,13540,0,EU
2020,14563,1157,2093,13627,0,EU
2021,14727,1159,2095,13791,0,EU
2022,14842,1172,2093,13921,0,EU
2023,14958,1178,2084,14052,0,EU
2024,15137,1183,2088,14232,0,EU
2025,15323,1186,2098,14411,0,EU
2026,15472,1187,2104,14555,0,EU
2027,15654,1188,2114,14728,0,EU
2028,15798,1190,2126,14862,0,EU
2016,6,367,8,365,0,Hong Kong
2017,6,294,0,300,0,Hong Kong
2018,7,213,0,220,0,Hong Kong
2019,7,252,0,259,0,Hong Kong
2020,7,280,0,287,0,Hong Kong
2021,8,286,0,293,0,Hong Kong
2022,8,293,0,301,0,Hong Kong
2023,8,298,0,306,0,Hong Kong
2024,8,302,0,311,0,Hong Kong
2025,9,307,0,315,0,Hong Kong
2026,9,312,0,320,0,Hong Kong
2027,9,316,0,325,0,Hong Kong
2028,9,319,0,328,0,Hong Kong
2016,4427,0,4,4423,0,India
2017,4640,0,4,4636,0,India
2018,4855,0,5,4850,0,India
2019,5100,0,5,5095,0,India
2020,5313,0,5,5308,0,India
2021,5509,0,5,5504,0,India
2022,5717,0,5,5712,0,India
2023,5943,0,5,5938,0,India
2024,6198,0,5,6193,0,India
2025,6477,0,5,6472,0,India
2026,6755,0,4,6751,0,India
2027,7042,0,4,7038,0,India
2028,7328,0,4,7324,0,India
2016,2111,0,0,2111,0,Indonesia
2017,2189,0,0,2189,0,Indonesia
2018,2281,0,0,2281,0,Indonesia
2019,2372,0,0,2372,0,Indonesia
2020,2459,0,0,2459,0,Indonesia
2021,2532,0,0,2532,0,Indonesia
2022,2601,0,0,2601,0,Indonesia
2023,2672,0,0,2672,0,Indonesia
2024,2754,0,0,2754,0,Indonesia
2025,2843,0,0,2843,0,Indonesia
2026,2921,0,0,2921,0,Indonesia
2027,3012,0,0,3012,0,Indonesia
2028,3089,0,0,3089,0,Indonesia
2016,2132,3,1,2134,0,Iran
2017,2269,18,25,2262,0,Iran
2018,2352,18,26,2344,0,Iran
2019,2435,18,27,2426,0,Iran
2020,2486,17,28,2476,0,Iran
2021,2655,18,28,2645,0,Iran
2022,2828,17,29,2816,0,Iran
2023,3005,17,29,2993,0,Iran
2024,3188,17,30,3175,0,Iran
2025,3374,17,30,3360,0,Iran
2026,3563,17,31,3549,0,Iran
2027,3749,17,32,3734,0,Iran
2028,3937,17,32,3921,0,Iran
2016,185,662,0,847,0,Iraq
2017,195,657,0,852,0,Iraq
2018,205,621,0,826,0,Iraq
2019,215,641,0,856,0,Iraq
2020,225,660,0,885,0,Iraq
2021,236,680,0,915,0,Iraq
2022,246,701,0,946,0,Iraq
2023,256,721,0,977,0,Iraq
2024,266,743,0,1008,0,Iraq
2025,276,764,0,1040,0,Iraq
2026,285,786,0,1071,0,Iraq
2027,296,808,0,1104,0,Iraq
2028,306,830,0,1137,0,Iraq
2016,1629,975,6,2589,146,Japan
2017,1661,1057,7,2689,168,Japan
2018,1695,1141,7,2827,170,Japan
2019,1730,1176,7,2909,160,Japan
2020,1755,1225,7,2971,162,Japan
2021,1794,1247,7,3032,163,Japan
2022,1811,1270,7,3073,164,Japan
2023,1837,1295,8,3124,164,Japan
2024,1876,1316,8,3183,165,Japan
2025,1914,1331,8,3236,167,Japan
2026,1945,1347,8,3283,168,Japan
2027,1973,1364,8,3328,169,Japan
2028,2000,1381,8,3372,170,Japan
2016,899,129,27,991,45,South Korea
2017,852,132,6,988,35,South Korea
2018,910,165,28,1047,35,South Korea
2019,932,180,29,1073,45,South Korea
2020,949,189,30,1107,46,South Korea
2021,987,194,31,1149,46,South Korea
2022,1007,199,32,1174,46,South Korea
2023,1031,204,34,1201,47,South Korea
2024,1056,210,35,1231,47,South Korea
2025,1084,214,36,1262,48,South Korea
2026,1108,220,37,1290,48,South Korea
2027,1126,227,39,1314,48,South Korea
2028,1146,234,40,1339,49,South Korea
2016,1521,77,17,1581,0,Malaysia
2017,1500,69,13,1556,0,Malaysia
2018,1525,87,17,1595,0,Malaysia
2019,1550,98,17,1631,0,Malaysia
2020,1568,106,17,1657,0,Malaysia
2021,1598,111,18,1691,0,Malaysia
2022,1627,114,19,1723,0,Malaysia
2023,1655,118,19,1754,0,Malaysia
2024,1689,122,20,1791,0,Malaysia
2025,1723,125,20,1828,0,Malaysia
2026,1754,128,21,1862,0,Malaysia
2027,1789,132,21,1900,0,Malaysia
2028,1820,136,22,1934,0,Malaysia
2016,3292,948,5,4235,0,Mexico
2017,3418,964,6,4376,0,Mexico
2018,3518,1006,6,4518,0,Mexico
2019,3618,1023,6,4635,0,Mexico
2020,3704,1049,5,4748,0,Mexico
2021,3777,1070,6,4841,0,Mexico
2022,3866,1103,6,4963,0,Mexico
2023,3948,1139,7,5080,0,Mexico
2024,4029,1168,7,5190,0,Mexico
2025,4114,1198,7,5305,0,Mexico
2026,4196,1226,7,5415,0,Mexico
2027,4293,1262,8,5547,0,Mexico
2028,4374,1302,8,5668,0,Mexico
2016,682,1,0,683,0,Morocco
2017,750,1,0,751,0,Morocco
2018,780,1,0,781,0,Morocco
2019,810,1,1,810,0,Morocco
2020,844,1,1,844,0,Morocco
2021,869,1,1,869,0,Morocco
2022,896,1,1,896,0,Morocco
2023,920,1,1,920,0,Morocco
2024,943,1,1,943,0,Morocco
2025,973,1,1,973,0,Morocco
2026,1006,1,1,1006,0,Morocco
2027,1038,1,1,1038,0,Morocco
2028,1075,1,1,1075,0,Morocco
2016,2161,410,17,2554,0,Other Asia & Oceania
2017,2299,333,18,2614,0,Other Asia & Oceania
2018,2418,359,20,2757,0,Other Asia & Oceania
2019,2535,389,22,2902,0,Other Asia & Oceania
2020,2638,408,24,3022,0,Other Asia & Oceania
2021,2740,424,25,3139,0,Other Asia & Oceania
2022,2842,439,27,3254,0,Other Asia & Oceania
2023,2946,456,28,3375,0,Other Asia & Oceania
2024,3052,473,29,3496,0,Other Asia & Oceania
2025,3162,489,31,3620,0,Other Asia & Oceania
2026,3275,504,33,3747,0,Other Asia & Oceania
2027,3393,521,34,3879,0,Other Asia & Oceania
2028,3511,537,36,4011,0,Other Asia & Oceania
2016,352,127,14,465,0,Other Europe
2017,378,148,15,511,0,Other Europe
2018,390,154,16,528,0,Other Europe
2019,404,158,18,544,0,Other Europe
2020,421,159,19,562,0,Other Europe
2021,437,162,20,579,0,Other Europe
2022,451,164,20,595,0,Other Europe
2023,465,166,21,610,0,Other Europe
2024,480,169,22,627,0,Other Europe
2025,494,172,23,643,0,Other Europe
2026,508,175,23,659,0,Other Europe
2027,522,178,24,676,0,Other Europe
2028,537,181,25,693,0,Other Europe
2016,914,363,169,1108,0,Other FSU
2017,950,424,161,1213,0,Other FSU
2018,1003,424,186,1241,0,Other FSU
2019,1028,434,196,1266,0,Other FSU
2020,1050,455,202,1303,0,Other FSU
2021,1064,480,207,1336,0,Other FSU
2022,1081,503,213,1371,0,Other FSU
2023,1099,524,218,1405,0,Other FSU
2024,1114,547,223,1438,0,Other FSU
2025,1130,569,227,1472,0,Other FSU
2026,1144,591,232,1503,0,Other FSU
2027,1158,614,238,1534,0,Other FSU
2028,1171,638,244,1564,0,Other FSU
2016,1455,844,31,2268,0,Other Middle East
2017,1461,1002,34,2429,0,Other Middle East
2018,1450,1035,34,2451,0,Other Middle East
2019,1459,1083,34,2508,0,Other Middle East
2020,1466,1104,34,2536,0,Other Middle East
2021,1468,1134,35,2567,0,Other Middle East
2022,1479,1157,35,2601,0,Other Middle East
2023,1488,1187,35,2640,0,Other Middle East
2024,1508,1218,36,2690,0,Other Middle East
2025,1532,1246,36,2742,0,Other Middle East
2026,1549,1273,37,2785,0,Other Middle East
2027,1571,1300,38,2833,0,Other Middle East
2028,1587,1323,39,2871,0,Other Middle East
2016,651,65,2,714,0,Other North Africa
2017,655,72,3,724,0,Other North Africa
2018,669,76,3,742,0,Other North Africa
2019,681,80,3,758,0,Other North Africa
2020,690,81,3,768,0,Other North Africa
2021,701,83,3,780,0,Other North Africa
2022,711,85,3,793,0,Other North Africa
2023,720,86,3,803,0,Other North Africa
2024,733,88,3,819,0,Other North Africa
2025,748,90,3,835,0,Other North Africa
2026,760,92,3,849,0,Other North Africa
2027,774,93,3,864,0,Other North Africa
2028,786,95,3,878,0,Other North Africa
2016,5199,349,147,5401,0,Other South America
2017,5833,533,143,6223,0,Other South America
2018,6060,546,164,6442,0,Other South America
2019,6243,571,174,6640,0,Other South America
2020,6385,606,181,6810,0,Other South America
2021,6546,643,187,7002,0,Other South America
2022,6723,672,196,7200,0,Other South America
2023,6908,698,202,7404,0,Other South America
2024,7119,719,208,7629,0,Other South America
2025,7341,741,215,7867,0,Other South America
2026,7562,761,222,8102,0,Other South America
2027,7785,786,230,8341,0,Other South America
2028,7990,806,237,8559,0,Other South America
2016,848,658,5,1501,0,Other Sub-Saharan Africa
2017,895,773,4,1664,0,Other Sub-Saharan Africa
2018,920,812,4,1728,0,Other Sub-Saharan Africa
2019,945,864,5,1804,0,Other Sub-Saharan Africa
2020,964,893,5,1852,0,Other Sub-Saharan Africa
2021,982,928,5,1905,0,Other Sub-Saharan Africa
2022,1007,971,5,1973,0,Other Sub-Saharan Africa
2023,1030,1013,5,2038,0,Other Sub-Saharan Africa
2024,1051,1056,5,2102,0,Other Sub-Saharan Africa
2025,1073,1096,5,2164,0,Other Sub-Saharan Africa
2026,1096,1137,5,2228,0,Other Sub-Saharan Africa
2027,1116,1172,5,2283,0,Other Sub-Saharan Africa
2028,1140,1209,5,2344,0,Other Sub-Saharan Africa
2016,1138,1,3,1136,0,Pakistan
2017,1154,1,3,1152,0,Pakistan
2018,1221,1,3,1219,0,Pakistan
2019,1288,1,3,1286,0,Pakistan
2020,1353,1,3,1351,0,Pakistan
2021,1418,1,3,1416,0,Pakistan
2022,1476,1,3,1474,0,Pakistan
2023,1540,1,3,1538,0,Pakistan
2024,1605,1,3,1603,0,Pakistan
2025,1669,1,3,1667,0,Pakistan
2026,1732,1,3,1730,0,Pakistan
2027,1796,1,3,1794,0,Pakistan
2028,1861,1,3,1859,0,Pakistan
2016,1291,247,4,1534,0,Philippines
2017,1346,271,3,1614,0,Philippines
2018,1387,314,3,1698,0,Philippines
2019,1417,344,3,1758,0,Philippines
2020,1453,375,3,1825,0,Philippines
2021,1491,402,3,1890,0,Philippines
2022,1533,429,3,1959,0,Philippines
2023,1576,451,3,2024,0,Philippines
2024,1621,472,3,2090,0,Philippines
2025,1668,494,3,2159,0,Philippines
2026,1710,516,3,2223,0,Philippines
2027,1753,539,3,2289,0,Philippines
2028,1797,561,3,2355,0,Philippines
2016,4328,228,106,4455,30,Russia
2017,4658,226,124,4760,30,Russia
2018,4725,226,150,4801,30,Russia
2019,4780,201,180,4801,30,Russia
2020,4819,247,200,4866,30,Russia
2021,4838,249,205,4881,30,Russia
2022,4929,234,213,4950,30,Russia
2023,5019,227,217,5029,30,Russia
2024,5146,216,225,5137,30,Russia
2025,5266,199,230,5235,30,Russia
2026,5370,191,236,5325,30,Russia
2027,5480,180,242,5418,30,Russia
2028,5565,175,248,5492,30,Russia
2016,575,889,42,1422,0,Saudi Arabia
2017,600,837,45,1392,0,Saudi Arabia
2018,650,624,15,1259,0,Saudi Arabia
2019,700,727,15,1412,0,Saudi Arabia
2020,697,752,15,1434,0,Saudi Arabia
2021,689,775,15,1449,0,Saudi Arabia
2022,692,796,15,1473,0,Saudi Arabia
2023,694,821,15,1499,0,Saudi Arabia
2024,695,843,15,1522,0,Saudi Arabia
2025,699,865,16,1549,0,Saudi Arabia
2026,705,888,16,1578,0,Saudi Arabia
2027,710,910,16,1605,0,Saudi Arabia
2028,716,932,16,1633,0,Saudi Arabia
2016,1357,559,77,1839,0,South Africa Republic
2017,1341,553,67,1827,0,South Africa Republic
2018,1371,565,57,1879,0,South Africa Republic
2019,1416,575,62,1929,0,South Africa Republic
2020,1439,598,64,1973,0,South Africa Republic
2021,1460,617,66,2011,0,South Africa Republic
2022,1484,627,68,2043,0,South Africa Republic
2023,1497,647,69,2075,0,South Africa Republic
2024,1520,657,71,2106,0,South Africa Republic
2025,1546,671,72,2144,0,South Africa Republic
2026,1569,680,74,2175,0,South Africa Republic
2027,1598,688,76,2210,0,South Africa Republic
2028,1621,701,78,2244,0,South Africa Republic
2016,543,164,7,700,0,Taiwan
2017,533,160,6,687,0,Taiwan
2018,503,252,6,749,0,Taiwan
2019,523,201,6,718,0,Taiwan
2020,520,209,6,724,0,Taiwan
2021,521,214,6,729,0,Taiwan
2022,522,218,6,733,0,Taiwan
2023,520,223,6,737,0,Taiwan
2024,518,229,6,740,0,Taiwan
2025,515,234,7,742,0,Taiwan
2026,512,239,7,745,0,Taiwan
2027,509,245,7,747,0,Taiwan
2028,506,250,7,749,0,Taiwan
2016,2813,3,691,2129,80,Thailand
2017,2990,2,758,2226,88,Thailand
2018,3120,2,851,2279,80,Thailand
2019,3250,1,901,2355,75,Thailand
2020,3362,1,955,2407,76,Thailand
2021,3474,1,1011,2463,77,Thailand
2022,3577,1,1052,2525,78,Thailand
2023,3685,1,1097,2588,78,Thailand
2024,3805,1,1137,2668,79,Thailand
2025,3926,1,1187,2739,80,Thailand
2026,4045,1,1238,2807,81,Thailand
2027,4168,1,1295,2873,82,Thailand
2028,4289,1,1354,2935,83,Thailand
2016,1971,0,267,1704,0,Turkey
2017,2240,3,362,1881,0,Turkey
2018,2304,5,386,1923,0,Turkey
2019,2331,5,406,1930,0,Turkey
2020,2381,5,421,1965,0,Turkey
2021,2426,5,428,2003,0,Turkey
2022,2486,5,439,2052,0,Turkey
2023,2535,5,447,2093,0,Turkey
2024,2596,5,455,2146,0,Turkey
2025,2660,5,460,2205,0,Turkey
2026,2718,5,469,2255,0,Turkey
2027,2783,5,479,2310,0,Turkey
2028,2840,5,487,2358,0,Turkey
2016,1136,79,236,979,0,Ukraine
2017,1166,115,262,1019,0,Ukraine
2018,1205,136,300,1041,0,Ukraine
2019,1290,116,350,1056,0,Ukraine
2020,1326,118,385,1059,0,Ukraine
2021,1344,122,407,1060,0,Ukraine
2022,1359,124,425,1058,0,Ukraine
2023,1374,124,442,1055,0,Ukraine
2024,1391,124,460,1055,0,Ukraine
2025,1412,124,478,1058,0,Ukraine
2026,1430,124,497,1057,0,Ukraine
2027,1450,125,516,1058,0,Ukraine
2028,1470,125,534,1061,0,Ukraine
2016,21223,84,3302,18030,356,USA
2017,21651,70,3422,18124,531,USA
2018,22026,74,3428,18663,540,USA
2019,22424,77,3513,18989,539,USA
2020,22403,76,3514,18969,535,USA
2021,22648,77,3560,19165,535,USA
2022,22837,78,3606,19309,535,USA
2023,23015,78,3651,19442,535,USA
2024,23241,79,3696,19624,535,USA
2025,23434,80,3719,19795,535,USA
2026,23588,81,3732,19937,535,USA
2027,23689,82,3744,20027,535,USA
2028,23788,83,3757,20114,535,USA
2016,741,70,6,805,0,Vietnam
2017,795,68,6,857,0,Vietnam
2018,840,73,6,907,0,Vietnam
2019,890,73,6,957,0,Vietnam
2020,932,77,6,1003,0,Vietnam
2021,975,78,6,1047,0,Vietnam
2022,1011,80,6,1085,0,Vietnam
2023,1045,82,6,1121,0,Vietnam
2024,1088,85,6,1167,0,Vietnam
2025,1131,87,6,1212,0,Vietnam
2026,1171,90,6,1255,0,Vietnam
2027,1213,92,6,1298,0,Vietnam
2028,1253,94,6,1341,0,Vietnam
2016,114184,11795,11795,114200,700,World
2017,116766,12168,12168,116568,898,World
2018,119243,12283,12283,119231,910,World
2019,122197,12761,12761,122208,899,World
2020,124368,13221,13221,124367,900,World
2021,126884,13630,13630,126879,905,World
2022,129406,14014,14014,129404,907,World
2023,132022,14408,14408,132020,909,World
2024,134916,14777,14777,134912,913,World
2025,137767,15127,15127,137763,917,World
2026,140474,15480,15480,140471,920,World
2027,143223,15841,15841,143220,923,World
2028,145852,16211,16211,145849,927,World
