crop_year,harvest_area,yield,production,imports,exports,total_consumption,food_seed_and_industrial_use,feed_use,ending_stocks,country
 2016/17,700,4.86,3400,0,563,2900,400,2500,889,Argentina
 2017/18,700,4.29,3000,0,500,2700,400,2300,689,Argentina
 2018/19,700,4.50,3150,0,500,2700,400,2300,639,Argentina
 2019/20,659,4.52,2977,0,300,2706,398,2308,610,Argentina
 2020/21,668,4.53,3024,0,301,2717,399,2318,616,Argentina
 2021/22,669,4.53,3033,0,302,2724,398,2326,623,Argentina
 2022/23,668,4.55,3040,0,305,2732,398,2334,626,Argentina
 2023/24,670,4.56,3054,0,312,2740,398,2342,628,Argentina
 2024/25,670,4.57,3059,0,312,2747,399,2348,628,Argentina
 2025/26,673,4.57,3075,0,321,2754,397,2357,628,Argentina
 2026/27,675,4.58,3090,0,327,2763,399,2364,628,Argentina
 2027/28,681,4.58,3119,0,350,2768,396,2372,629,Argentina
 2028/29,681,4.59,3124,0,350,2775,396,2379,628,Argentina
 2016/17,368,2.70,994,0,280,675,200,475,272,Australia
 2017/18,531,2.71,1439,0,650,800,200,600,261,Australia
 2018/19,680,2.87,1950,0,1400,700,200,500,111,Australia
 2019/20,751,3.06,2295,0,1597,689,195,494,120,Australia
 2020/21,749,3.08,2309,0,1628,682,195,487,120,Australia
 2021/22,754,3.10,2339,0,1665,676,194,482,118,Australia
 2022/23,752,3.13,2353,0,1684,670,193,477,117,Australia
 2023/24,760,3.14,2384,0,1720,672,195,477,109,Australia
 2024/25,772,3.14,2427,0,1759,675,197,478,102,Australia
 2025/26,774,3.16,2444,0,1776,672,197,475,98,Australia
 2026/27,780,3.17,2473,0,1806,672,198,474,92,Australia
 2027/28,782,3.19,2496,0,1830,669,200,469,90,Australia
 2028/29,778,3.21,2499,0,1839,663,199,464,87,Australia
 2016/17,629,2.97,1865,0,1,1700,100,1600,215,Brazil
 2017/18,655,2.85,1870,0,5,1900,100,1800,180,Brazil
 2018/19,657,2.84,1863,0,10,1900,100,1800,133,Brazil
 2019/20,673,2.90,1949,0,10,1939,100,1839,133,Brazil
 2020/21,673,2.93,1969,0,10,1959,101,1858,134,Brazil
 2021/22,670,2.96,1985,0,10,1974,100,1874,134,Brazil
 2022/23,665,3.00,1994,0,10,1984,100,1884,135,Brazil
 2023/24,667,3.03,2020,0,10,2009,100,1909,136,Brazil
 2024/25,668,3.06,2045,0,10,2034,100,1934,136,Brazil
 2025/26,669,3.09,2068,0,10,2057,100,1957,137,Brazil
 2026/27,671,3.12,2094,0,10,2083,99,1984,138,Brazil
 2027/28,674,3.15,2123,0,10,2112,100,2012,138,Brazil
 2028/29,677,3.18,2151,0,10,2140,99,2041,139,Brazil
 2016/17,353,1.26,444,2,0,446,260,186,17,Central AM & Carribean
 2017/18,337,1.23,416,0,5,416,280,136,12,Central AM & Carribean
 2018/19,347,1.25,433,0,0,436,305,131,9,Central AM & Carribean
 2019/20,347,1.26,437,0,0,437,304,133,9,Central AM & Carribean
 2020/21,348,1.26,439,0,0,439,305,134,9,Central AM & Carribean
 2021/22,348,1.27,440,0,0,440,306,134,9,Central AM & Carribean
 2022/23,347,1.27,442,0,0,442,307,135,9,Central AM & Carribean
 2023/24,348,1.27,441,0,0,441,310,132,9,Central AM & Carribean
 2024/25,347,1.27,440,0,0,440,312,128,9,Central AM & Carribean
 2025/26,346,1.27,439,0,0,440,315,125,9,Central AM & Carribean
 2026/27,345,1.27,438,0,0,438,317,121,9,Central AM & Carribean
 2027/28,344,1.27,438,0,0,438,318,120,9,Central AM & Carribean
 2028/29,344,1.27,439,0,0,439,318,121,9,Central AM & Carribean
 2016/17,625,4.78,2985,5209,34,8300,2500,5800,577,China
 2017/18,675,4.74,3200,4400,40,7800,2600,5200,337,China
 2018/19,720,4.79,3450,2000,20,5500,2700,2800,267,China
 2019/20,759,4.82,3662,2000,13,5636,2766,2870,280,China
 2020/21,792,4.85,3842,2000,13,5807,2828,2979,302,China
 2021/22,817,4.87,3977,2000,12,5934,2879,3055,333,China
 2022/23,839,4.88,4094,2000,12,6056,2929,3127,359,China
 2023/24,861,4.89,4207,1999,13,6166,2955,3211,386,China
 2024/25,888,4.92,4365,2000,14,6325,2996,3329,412,China
 2025/26,918,4.94,4533,2000,13,6477,3065,3412,455,China
 2026/27,947,4.94,4681,2000,12,6623,3129,3494,501,China
 2027/28,977,4.95,4833,2000,11,6770,3183,3587,553,China
 2028/29,1005,4.95,4978,2000,11,6910,3231,3679,610,China
 2016/17,7965,0.74,5863,25,5,6038,5513,525,333,West Africa
 2017/18,7747,0.79,6129,25,5,6014,5489,525,468,West Africa
 2018/19,7880,0.74,5865,25,5,5965,5440,525,388,West Africa
 2019/20,8000,0.74,5916,23,5,5934,5407,528,388,West Africa
 2020/21,8152,0.74,6021,23,5,6013,5486,527,414,West Africa
 2021/22,8224,0.74,6089,23,5,6086,5562,524,434,West Africa
 2022/23,8289,0.75,6188,23,5,6182,5656,525,458,West Africa
 2023/24,8357,0.75,6288,22,5,6282,5757,526,482,West Africa
 2024/25,8421,0.76,6364,22,5,6367,5845,522,496,West Africa
 2025/26,8495,0.76,6469,23,5,6466,5944,522,517,West Africa
 2026/27,8564,0.77,6570,23,5,6569,6046,523,535,West Africa
 2027/28,8626,0.77,6684,23,5,6681,6159,522,556,West Africa
 2028/29,8701,0.78,6808,23,5,6803,6279,524,578,West Africa
 2016/17,140,5.36,750,5,0,750,400,350,53,Egypt
 2017/18,140,5.36,750,1,0,750,400,350,54,Egypt
 2018/19,140,5.36,750,0,0,750,400,350,54,Egypt
 2019/20,139,5.37,749,0,0,752,399,353,51,Egypt
 2020/21,140,5.38,753,0,0,755,400,354,49,Egypt
 2021/22,141,5.39,757,0,0,760,401,359,47,Egypt
 2022/23,141,5.40,760,0,0,762,401,361,45,Egypt
 2023/24,141,5.41,761,0,0,763,401,362,43,Egypt
 2024/25,141,5.42,763,0,0,765,401,364,41,Egypt
 2025/26,141,5.43,766,0,0,767,402,365,40,Egypt
 2026/27,141,5.44,767,0,0,769,401,368,38,Egypt
 2027/28,141,5.45,769,0,0,770,401,369,37,Egypt
 2028/29,141,5.46,770,0,0,771,401,370,36,Egypt
 2016/17,5862,0.78,4570,0,23,4500,4000,500,198,India
 2017/18,4829,1.03,4950,0,80,4700,4100,600,368,India
 2018/19,5200,0.88,4600,0,50,4600,4000,600,318,India
 2019/20,5186,0.89,4609,0,42,4642,4053,589,243,India
 2020/21,5189,0.89,4628,0,42,4586,3992,594,243,India
 2021/22,5173,0.89,4623,0,42,4580,3980,600,244,India
 2022/23,5146,0.89,4604,0,42,4564,3958,606,242,India
 2023/24,5129,0.90,4596,0,41,4555,3940,615,242,India
 2024/25,5114,0.90,4588,0,41,4549,3926,623,240,India
 2025/26,5097,0.90,4577,0,41,4539,3909,630,238,India
 2026/27,5080,0.90,4565,0,40,4527,3889,638,236,India
 2027/28,5064,0.90,4553,0,40,4515,3870,645,234,India
 2028/29,5052,0.90,4544,0,40,4507,3856,651,232,India
 2016/17,     --,     --,     --,561,0,561,0,561,52,Japan
 2017/18,     --,     --,     --,600,0,600,0,600,52,Japan
 2018/19,     --,     --,     --,600,0,600,0,600,52,Japan
 2019/20,     --,     --,     --,670,0,664,0,664,58,Japan
 2020/21,     --,     --,     --,673,0,672,0,672,58,Japan
 2021/22,     --,     --,     --,670,0,670,0,670,58,Japan
 2022/23,     --,     --,     --,675,0,675,0,675,58,Japan
 2023/24,     --,     --,     --,685,0,684,0,684,59,Japan
 2024/25,     --,     --,     --,686,0,686,0,686,60,Japan
 2025/26,     --,     --,     --,694,0,693,0,693,60,Japan
 2026/27,     --,     --,     --,700,0,699,0,699,61,Japan
 2027/28,     --,     --,     --,709,0,708,0,708,61,Japan
 2028/29,     --,     --,     --,715,0,715,0,715,62,Japan
 2016/17,1465,3.17,4638,548,0,5300,100,5200,172,Mexico
 2017/18,1350,3.37,4545,120,0,4700,100,4600,137,Mexico
 2018/19,1450,3.17,4600,1500,0,5900,100,5800,337,Mexico
 2019/20,1474,3.21,4734,1610,0,6386,99,6287,295,Mexico
 2020/21,1498,3.25,4870,1624,0,6499,102,6397,290,Mexico
 2021/22,1512,3.29,4979,1598,0,6584,102,6482,283,Mexico
 2022/23,1526,3.33,5087,1605,0,6707,103,6604,268,Mexico
 2023/24,1541,3.37,5200,1601,0,6781,104,6677,288,Mexico
 2024/25,1552,3.42,5306,1607,0,6872,105,6767,329,Mexico
 2025/26,1563,3.46,5408,1606,0,6998,108,6890,345,Mexico
 2026/27,1573,3.50,5511,1615,0,7109,109,7000,362,Mexico
 2027/28,1584,3.55,5619,1624,0,7255,110,7145,350,Mexico
 2028/29,1597,3.59,5735,1616,0,7374,111,7263,327,Mexico
 2016/17,5816,1.19,6939,6,100,6850,6700,150,175,Nigeria
 2017/18,5800,1.09,6300,0,100,6250,6100,150,125,Nigeria
 2018/19,5800,1.17,6800,0,100,6700,6550,150,125,Nigeria
 2019/20,5839,1.20,6989,0,100,6888,6738,150,126,Nigeria
 2020/21,5897,1.20,7099,0,100,7000,6853,147,125,Nigeria
 2021/22,5969,1.21,7209,0,100,7110,6962,148,124,Nigeria
 2022/23,6037,1.22,7335,0,100,7236,7088,148,123,Nigeria
 2023/24,6102,1.22,7457,0,100,7358,7211,147,122,Nigeria
 2024/25,6175,1.23,7586,0,100,7487,7340,147,121,Nigeria
 2025/26,6251,1.24,7721,0,100,7622,7476,147,120,Nigeria
 2026/27,6326,1.24,7852,0,100,7753,7607,146,119,Nigeria
 2027/28,6408,1.25,7995,0,100,7896,7750,146,118,Nigeria
 2028/29,6488,1.25,8139,0,100,8040,7895,145,117,Nigeria
 2016/17,475,0.34,162,21,0,183,152,31,0,Other Middle East
 2017/18,400,0.38,150,30,0,180,145,35,0,Other Middle East
 2018/19,400,0.38,150,20,0,170,140,30,0,Other Middle East
 2019/20,400,0.38,151,24,0,175,140,35,0,Other Middle East
 2020/21,404,0.38,155,27,0,182,147,35,0,Other Middle East
 2021/22,407,0.39,159,30,0,189,153,36,0,Other Middle East
 2022/23,409,0.40,163,25,0,188,152,36,0,Other Middle East
 2023/24,411,0.40,165,25,0,190,153,37,0,Other Middle East
 2024/25,412,0.41,168,29,0,197,155,43,0,Other Middle East
 2025/26,412,0.41,170,26,0,196,153,43,0,Other Middle East
 2026/27,413,0.42,173,27,0,200,156,44,0,Other Middle East
 2027/28,415,0.42,176,29,0,205,161,45,0,Other Middle East
 2028/29,416,0.43,179,31,0,210,165,45,0,Other Middle East
 2016/17,351,2.55,894,58,11,1023,130,893,43,Other South America
 2017/18,433,2.33,1008,127,26,1116,45,1071,36,Other South America
 2018/19,429,2.53,1087,185,35,1197,75,1122,76,Other South America
 2019/20,419,2.56,1075,262,38,1273,74,1199,102,Other South America
 2020/21,426,2.58,1099,266,37,1316,75,1241,114,Other South America
 2021/22,431,2.59,1117,274,37,1352,76,1276,116,Other South America
 2022/23,435,2.61,1137,276,36,1376,76,1300,117,Other South America
 2023/24,438,2.62,1146,292,36,1400,77,1323,119,Other South America
 2024/25,442,2.63,1160,300,36,1422,79,1343,121,Other South America
 2025/26,448,2.64,1181,295,36,1437,80,1357,124,Other South America
 2026/27,454,2.64,1200,294,37,1454,80,1374,127,Other South America
 2027/28,459,2.66,1220,296,38,1476,82,1394,129,Other South America
 2028/29,464,2.67,1242,292,38,1493,81,1412,132,Other South America
 2016/17,16442,0.98,16173,522,316,16386,15378,1008,1380,Other Sub-Saharan Africa
 2017/18,13782,0.95,13067,677,315,13929,13111,818,880,Other Sub-Saharan Africa
 2018/19,14287,0.93,13337,818,140,14115,13392,723,780,Other Sub-Saharan Africa
 2019/20,14997,0.92,13853,895,140,14582,13845,737,806,Other Sub-Saharan Africa
 2020/21,15300,0.93,14154,905,140,14902,14164,738,823,Other Sub-Saharan Africa
 2021/22,15571,0.93,14431,913,140,15187,14436,751,840,Other Sub-Saharan Africa
 2022/23,15803,0.93,14731,930,140,15507,14758,749,854,Other Sub-Saharan Africa
 2023/24,16023,0.94,15021,947,140,15814,15059,755,868,Other Sub-Saharan Africa
 2024/25,16384,0.94,15380,964,140,16186,15425,761,886,Other Sub-Saharan Africa
 2025/26,16672,0.94,15704,984,140,16531,15764,767,903,Other Sub-Saharan Africa
 2026/27,16952,0.95,16034,1002,140,16879,16108,771,920,Other Sub-Saharan Africa
 2027/28,17296,0.95,16388,1022,140,17251,16473,778,939,Other Sub-Saharan Africa
 2028/29,17591,0.95,16728,1039,140,17609,16826,783,957,Other Sub-Saharan Africa
 2016/17,57,2.77,158,4,0,170,120,50,25,Saudi Arabia
 2017/18,102,2.60,265,100,0,370,230,140,20,Saudi Arabia
 2018/19,100,2.50,250,10,0,250,200,50,30,Saudi Arabia
 2019/20,100,2.52,252,14,0,269,200,69,27,Saudi Arabia
 2020/21,103,2.54,260,16,0,276,202,74,28,Saudi Arabia
 2021/22,103,2.55,264,16,0,280,204,76,28,Saudi Arabia
 2022/23,104,2.57,267,16,0,283,205,78,28,Saudi Arabia
 2023/24,105,2.59,272,18,0,290,208,82,28,Saudi Arabia
 2024/25,105,2.61,273,19,0,291,211,80,28,Saudi Arabia
 2025/26,104,2.62,273,20,0,293,213,80,28,Saudi Arabia
 2026/27,104,2.64,276,21,0,296,216,80,29,Saudi Arabia
 2027/28,104,2.66,277,22,0,298,218,81,29,Saudi Arabia
 2028/29,104,2.68,279,23,0,302,220,82,29,Saudi Arabia
 2016/17,42,3.62,152,0,9,170,160,10,23,South Africa Republic
 2017/18,29,3.79,110,80,10,170,160,10,33,South Africa Republic
 2018/19,60,2.50,150,60,10,195,180,15,38,South Africa Republic
 2019/20,61,2.51,152,64,10,205,186,18,40,South Africa Republic
 2020/21,60,2.53,151,66,10,205,187,18,42,South Africa Republic
 2021/22,60,2.54,153,68,10,210,190,20,44,South Africa Republic
 2022/23,61,2.55,155,70,10,214,192,22,46,South Africa Republic
 2023/24,61,2.56,157,72,10,219,196,23,46,South Africa Republic
 2024/25,62,2.57,161,75,10,225,199,25,47,South Africa Republic
 2025/26,63,2.59,164,78,10,232,203,28,47,South Africa Republic
 2026/27,64,2.60,167,81,10,237,207,30,48,South Africa Republic
 2027/28,65,2.62,170,83,11,243,210,33,48,South Africa Republic
 2028/29,66,2.63,173,85,11,247,213,34,48,South Africa Republic
 2016/17,2,1.00,2,48,0,53,33,20,0,Taiwan
 2017/18,2,1.00,2,60,0,62,42,20,0,Taiwan
 2018/19,2,1.00,2,50,0,52,32,20,0,Taiwan
 2019/20,2,1.01,2,51,0,52,32,20,1,Taiwan
 2020/21,2,1.01,2,53,0,55,32,23,1,Taiwan
 2021/22,2,1.02,2,54,0,56,32,24,1,Taiwan
 2022/23,2,1.02,2,55,0,57,32,25,1,Taiwan
 2023/24,2,1.03,2,56,0,58,32,26,1,Taiwan
 2024/25,2,0.98,2,57,0,59,32,27,1,Taiwan
 2025/26,2,0.98,2,58,0,60,32,27,1,Taiwan
 2026/27,2,0.99,2,58,0,60,32,28,1,Taiwan
 2027/28,2,0.99,2,58,0,60,32,28,1,Taiwan
 2028/29,2,1.00,2,59,0,60,32,28,1,Taiwan
 2016/17,27,1.85,50,0,5,51,6,45,0,Thailand
 2017/18,27,1.85,50,0,5,45,0,45,0,Thailand
 2018/19,27,1.85,50,0,5,45,0,45,0,Thailand
 2019/20,28,1.86,52,0,5,47,0,47,0,Thailand
 2020/21,29,1.87,54,0,5,49,0,49,0,Thailand
 2021/22,29,1.88,55,0,5,50,0,50,0,Thailand
 2022/23,29,1.89,55,0,5,50,0,50,0,Thailand
 2023/24,29,1.90,56,0,5,51,0,51,0,Thailand
 2024/25,29,1.91,55,0,5,50,0,50,0,Thailand
 2025/26,29,1.92,56,0,5,51,0,51,0,Thailand
 2026/27,30,1.93,57,0,5,52,0,52,0,Thailand
 2027/28,30,1.94,58,0,5,53,0,53,0,Thailand
 2028/29,30,1.95,58,0,5,53,0,53,0,Thailand
 2016/17,2494,4.89,12199,44,6041,6282,2910,3372,850,USA
 2017/18,2042,4.53,9242,51,5211,4047,1501,2546,885,USA
 2018/19,2061,4.71,9701,0,3810,5842,3175,2667,934,USA
 2019/20,2023,4.23,8560,0,3810,4947,2534,2413,737,USA
 2020/21,2023,4.23,8560,0,3810,4827,2541,2286,660,USA
 2021/22,2064,4.22,8713,0,3810,4953,2540,2413,610,USA
 2022/23,2064,4.22,8713,0,3810,4827,2541,2286,686,USA
 2023/24,2064,4.22,8713,0,3810,4954,2541,2413,635,USA
 2024/25,2064,4.22,8713,0,3810,4827,2541,2286,711,USA
 2025/26,2104,4.23,8890,0,3810,5080,2540,2540,711,USA
 2026/27,2104,4.23,8890,0,3810,5080,2540,2540,711,USA
 2027/28,2104,4.23,8890,0,3810,5080,2540,2540,711,USA
 2028/29,2104,4.23,8890,0,3810,5080,2540,2540,711,USA
 2016/17,44291,1.43,63373,7565,7565,63800,39476,24324,5357,World
 2017/18,40005,1.44,57552,7104,7104,58192,35386,22806,4717,World
 2018/19,41366,1.43,59211,6167,6167,59456,37477,21979,4472,World
 2019/20,41892,1.42,59549,6250,6250,59998,39169,20829,4023,World
 2020/21,42489,1.42,60535,6289,6289,60531,39520,21011,4027,World
 2021/22,42980,1.43,61477,6332,6332,61459,40079,21380,4045,World
 2022/23,43352,1.44,62281,6363,6363,62154,40655,21499,4172,World
 2023/24,43744,1.44,63107,6413,6413,63078,41209,21869,4201,World
 2024/25,44283,1.45,64026,6458,6458,63858,41839,22019,4369,World
 2025/26,44799,1.45,65124,6490,6490,65032,42485,22547,4461,World
 2026/27,45262,1.46,66032,6532,6532,65938,43126,22812,4555,World
 2027/28,45793,1.46,67010,6588,6588,66933,43805,23128,4632,World
 2028/29,46278,1.47,67949,6607,6607,67879,44468,23411,4702,World
